YEAR	RCP_26	RCP_45	RCP_60	RCP_85
1765	277.01467	277.01467	277.01467	277.01467
1766	277.8388	277.8388	277.8388	277.8388
1767	278.69351	278.69351	278.69351	278.69351
1768	278.74752	278.74752	278.74752	278.74752
1769	278.79644	278.79644	278.79644	278.79644
1770	278.84896	278.84896	278.84896	278.84896
1771	278.88421	278.88421	278.88421	278.88421
1772	278.92512	278.92512	278.92512	278.92512
1773	278.99387	278.99387	278.99387	278.99387
1774	279.06906	279.06906	279.06906	279.06906
1775	279.1513	279.1513	279.1513	279.1513
1776	279.2424	279.2424	279.2424	279.2424
1777	279.34214	279.34214	279.34214	279.34214
1778	279.44672	279.44672	279.44672	279.44672
1779	279.55094	279.55094	279.55094	279.55094
1780	279.65007	279.65007	279.65007	279.65007
1781	279.71846	279.71846	279.71846	279.71846
1782	279.78173	279.78173	279.78173	279.78173
1783	279.86798	279.86798	279.86798	279.86798
1784	279.95858	279.95858	279.95858	279.95858
1785	280.05821	280.05821	280.05821	280.05821
1786	280.16952	280.16952	280.16952	280.16952
1787	280.29117	280.29117	280.29117	280.29117
1788	280.41905	280.41905	280.41905	280.41905
1789	280.54845	280.54845	280.54845	280.54845
1790	280.67599	280.67599	280.67599	280.67599
1791	280.77766	280.77766	280.77766	280.77766
1792	280.87905	280.87905	280.87905	280.87905
1793	281.00453	281.00453	281.00453	281.00453
1794	281.12966	281.12966	281.12966	281.12966
1795	281.25415	281.25415	281.25415	281.25415
1796	281.37816	281.37816	281.37816	281.37816
1797	281.47794	281.47794	281.47794	281.47794
1798	281.57703	281.57703	281.57703	281.57703
1799	281.69873	281.69873	281.69873	281.69873
1800	281.7953	281.7953	281.7953	281.7953
1801	281.89146	281.89146	281.89146	281.89146
1802	281.96434	281.96434	281.96434	281.96434
1803	282.06097	282.06097	282.06097	282.06097
1804	282.20419	282.20419	282.20419	282.20419
1805	282.32288	282.32288	282.32288	282.32288
1806	282.41845	282.41845	282.41845	282.41845
1807	282.51428	282.51428	282.51428	282.51428
1808	282.63057	282.63057	282.63057	282.63057
1809	282.73903	282.73903	282.73903	282.73903
1810	282.8364	282.8364	282.8364	282.8364
1811	282.90004	282.90004	282.90004	282.90004
1812	282.9574	282.9574	282.9574	282.9574
1813	283.03571	283.03571	283.03571	283.03571
1814	283.11463	283.11463	283.11463	283.11463
1815	283.17382	283.17382	283.17382	283.17382
1816	283.21462	283.21462	283.21462	283.21462
1817	283.25897	283.25897	283.25897	283.25897
1818	283.32685	283.32685	283.32685	283.32685
1819	283.4149	283.4149	283.4149	283.4149
1820	283.49758	283.49758	283.49758	283.49758
1821	283.57508	283.57508	283.57508	283.57508
