# co2 concentrations 1980-2100
YEAR	RCP_26	RCP_45	RCP_60	RCP_85
1980	330.86448	330.86448	330.86448	330.86448
1981	332.22762	332.22762	332.22762	332.22762
1982	333.03368	333.03368	333.03368	333.03368
1983	334.24432	334.24432	334.24432	334.24432
1984	336.14519	336.14519	336.14519	336.14519
1985	338.19811	338.19811	338.19811	338.19811
1986	340.22271	340.22271	340.22271	340.22271
1987	342.40873	342.40873	342.40873	342.40873
1988	345.08452	345.08452	345.08452	345.08452
1989	347.72931	347.72931	347.72931	347.72931
1990	349.91054	349.91054	349.91054	349.91054
1991	351.18907	351.18907	351.18907	351.18907
1992	351.54763	351.54763	351.54763	351.54763
1993	352.27475	352.27475	352.27475	352.27475
1994	353.73698	353.73698	353.73698	353.73698
1995	355.93868	355.93868	355.93868	355.93868
1996	358.2628	358.2628	358.2628	358.2628
1997	359.83008	359.83008	359.83008	359.83008
1998	361.47123	361.47123	361.47123	361.47123
1999	363.28251	363.28251	363.28251	363.28251
2000	364.36712	364.36712	364.36712	364.36712
2001	365.65347	365.65347	365.65347	365.65347
2002	367.97846	367.97846	367.97846	367.97846
2003	370.51984	370.51984	370.51984	370.51984
2004	372.78524	372.78524	372.78524	372.78524
2005	375.10733	375.14774	375.01356	375.19996
2006	377.78302	377.9461	377.4073	378.15546
2007	380.58411	380.85653	379.79075	381.3568
2008	383.52121	383.83367	382.25718	384.74081
2009	386.70186	386.97977	384.87959	388.42565
2010	390.12466	390.16358	387.60742	392.05839
2011	393.80038	393.30729	390.46124	395.27227
2012	397.55122	396.50327	393.40456	398.43505
2013	401.14961	399.74953	396.31639	401.79376
2014	404.6121	403.0079	399.16983	405.27595
2015	407.97407	406.30368	401.99284	408.90146
2016	411.24161	409.63408	404.78528	412.66275
2017	414.41543	412.99225	407.54279	416.54905
2018	417.49975	416.37558	410.26488	420.55429
2019	420.54587	419.82976	412.99842	424.72174
2020	423.46397	423.2685	415.76955	429.09113
2021	426.13517	426.57304	418.57698	433.67451
2022	428.59283	429.85219	421.4307	438.35716
2023	430.90787	433.18135	424.32454	443.07271
2024	433.14977	436.54545	427.26531	447.89186
2025	435.33254	439.94925	430.25671	452.81977
2026	437.45807	443.3933	433.29811	457.85702
2027	439.51961	446.87097	436.38173	462.99651
2028	441.50756	450.37214	439.49661	468.22769
2029	443.41805	453.89223	442.63738	473.54556
2030	445.15424	457.45837	445.56175	479.08885
2031	446.61843	461.09933	448.0224	485.00313
2032	447.94001	464.72715	450.29573	491.12015
2033	449.21029	468.29171	452.64207	497.33571
2034	450.3993	471.84006	455.04472	503.72772
2035	451.51977	475.38306	457.50887	510.3047
2036	452.57601	478.92388	460.03259	517.06703
2037	453.56851	482.46212	462.61159	524.01271
2038	454.48974	485.98924	465.2343	531.13088
2039	455.32873	489.49313	467.88612	538.4067
2040	455.97977	492.99769	470.71807	545.7943
2041	456.34012	496.53319	473.88849	553.2511
2042	456.51933	500.02452	477.20755	560.84527
2043	456.61284	503.4167	480.51085	568.61665
2044	456.61779	506.74797	483.84037	576.54983
2045	456.55646	510.04827	487.22318	584.6734
2046	456.44117	513.33668	490.67562	593.00721
2047	456.27749	516.62264	494.20484	601.56231
2048	456.07196	519.9107	497.8139	610.3439
2049	455.82122	523.19569	501.49522	619.34623
2050	455.44144	526.37589	505.13208	628.43015
2051	454.85279	529.35342	508.61464	637.45629
2052	454.14536	532.17795	512.05303	646.55197
2053	453.41568	534.90801	515.55895	655.82329
2054	452.65504	537.53828	519.11937	665.22649
2055	451.86092	540.07165	522.73329	674.76367
2056	451.05176	542.53604	526.42404	684.4678
2057	450.2375	544.94887	530.20531	694.3603
2058	449.42024	547.31846	534.0827	704.45429
2059	448.59908	549.6494	538.05859	714.75889
2060	447.8341	551.91183	542.4471	725.22685
2061	447.18314	554.07021	547.56767	735.80212
2062	446.5635	556.12332	553.0471	746.47188
2063	445.9207	558.07691	558.55648	757.2226
2064	445.27723	559.93397	564.14701	768.04931
2065	444.61902	561.68202	569.80732	778.93799
2066	443.94355	563.32208	575.539	789.88891
2067	443.26882	564.88122	581.36977	800.93238
2068	442.60433	566.37634	587.31722	812.09823
2069	441.9517	567.81504	593.39036	823.40986
2070	441.34334	569.17631	599.42514	834.84352
2071	440.80241	570.42763	605.23808	846.35818
2072	440.29959	571.56163	610.94935	857.96001
2073	439.80947	572.57863	616.681	869.65468
2074	439.32684	573.47962	622.42152	881.43384
2075	438.85022	574.26681	628.17373	893.29986
2076	438.36713	574.92725	633.92394	905.2316
2077	437.87643	575.4613	639.67239	917.24063
2078	437.39719	575.89726	645.44832	929.33029
2079	436.9398	576.25987	651.27083	941.53025
2080	436.47529	576.42655	656.9413	954.05292
2081	435.97125	576.26179	662.25239	967.0627
2082	435.47216	576.04369	667.28579	980.37638
2083	434.99707	575.9732	672.08697	993.81254
2084	434.51701	575.96505	676.6186	1007.3762
2085	434.03063	576.01015	680.88931	1021.0685
